p,n_labeled,k,degree,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,300,3,2,supervised,sparse_poly_stlsq,0.21666666666666667,0.16499158227686112,1.0,0.0,0.7833333333333333,0.16499158227686112,1.0,0.0,0.8690476190476191,0.10240863413145988,0.75,0.2041241452319315,9.0,3.0,1.0,0.0,0.9728625939370575,0.006299322000055933,0.27140331268310547,3
5,100,4,2,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,11.650902686000032,0.3419860204060872,3
5,100,4,2,supervised,poly_lasso,0.20000000000000004,2.7755575615628914e-17,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.888888888888889,0.0,0.5,0.0,10.0,4.0,1.0,0.0,0.9903124537897803,0.21427976666655013,0.21501954396565756,3
5,100,4,2,supervised,poly_omp,0.13333333333333333,0.09428090415820635,1.0,0.0,0.8666666666666667,0.09428090415820632,1.0,0.0,0.9259259259259259,0.05237828008789238,0.6666666666666666,0.23570226039551584,12.0,4.0,0.6666666666666666,0.0,0.990655509293095,0.025359526333583442,0.13166522979736328,3
5,100,4,2,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.9464767987656072,0.38372079566670436,0.33269913991292316,3
5,100,4,2,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.9726157514830568,0.2258978403333458,0.3298533757527669,3
5,100,4,2,supervised,sparse_poly_stlsq,0.13333333333333333,0.09428090415820634,1.0,0.0,0.8666666666666667,0.09428090415820632,1.0,0.0,0.9259259259259259,0.05237828008789238,0.6666666666666666,0.23570226039551584,9.0,4.0,0.6666666666666666,0.0,0.9907379147286438,0.005489688999963012,0.10777123769124348,3
5,300,4,2,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,6.584307630333417,0.6249812444051107,3
5,300,4,2,supervised,poly_lasso,0.20000000000000004,2.7755575615628914e-17,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.888888888888889,0.0,0.5,0.0,12.666666666666666,4.0,1.0,0.0,0.9880258047365152,0.2122956239998833,0.3215983708699544,3
5,300,4,2,supervised,poly_omp,0.20000000000000004,2.7755575615628914e-17,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,1.0,0.0,0.888888888888889,0.0,0.5,0.0,16.0,4.0,1.0,0.0,0.9881110719332136,0.026957845000045683,0.31957658131917316,3
