p,n_labeled,k,degree,noise_std,setting,method,fdr_mean,fdr_std,tpr_mean,tpr_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_selected_mean,n_true_positives_mean,n_false_positives_mean,n_false_negatives_mean,r_squared_mean,elapsed_mean,peak_memory_mean,n_completed
5,300,2,2,0.5,semi_supervised,poly_lasso,0.2222222222222222,0.15713484026367722,1.0,0.0,0.7777777777777777,0.15713484026367724,1.0,0.0,0.8666666666666667,0.09428090415820632,0.8888888888888888,0.07856742013183865,3.6666666666666665,2.0,0.6666666666666666,0.0,-175.211655480553,0.06385416799997756,0.00620269775390625,3
5,300,2,2,0.5,semi_supervised,poly_omp,0.6,0.0,1.0,0.0,0.4000000000000001,5.551115123125783e-17,1.0,0.0,0.5714285714285715,0.0,0.5,0.0,20.0,2.0,3.0,0.0,-668.1987411405374,0.0015798896666865403,0.00616455078125,3
5,300,2,2,0.5,semi_supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9689160477437043,0.3473744836666697,0.6070092519124349,3
5,300,2,2,0.5,semi_supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9689323953768169,0.22650254033332354,0.6034555435180664,3
5,300,2,2,0.5,semi_supervised,sparse_poly_stlsq,0.38888888888888884,0.2832788618662658,0.5,0.0,0.611111111111111,0.28327886186626583,0.5,0.0,0.5222222222222221,0.10999438818457405,0.5833333333333334,0.13608276348795434,5.0,1.0,1.0,1.0,-1607.7001424656019,0.000538975333313374,0.0063323974609375,3
5,300,3,2,0.5,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,6.592670501000005,0.6256046295166016,3
5,300,3,2,0.5,supervised,poly_lasso,0.45,0.14719601443879746,1.0,0.0,0.5499999999999999,0.14719601443879743,1.0,0.0,0.6984126984126985,0.11878277418329969,0.6388888888888888,0.10393492741038726,7.0,2.3333333333333335,2.0,0.0,-340.9727644470927,0.12338371133334174,0.00620269775390625,3
5,300,3,2,0.5,supervised,poly_omp,0.5333333333333333,0.09428090415820632,1.0,0.0,0.4666666666666666,0.09428090415820632,1.0,0.0,0.6309523809523809,0.08417937871268413,0.5,0.0,20.0,2.3333333333333335,2.6666666666666665,0.0,-332.34652791072716,0.001609630333291534,0.0061492919921875,3
5,300,3,2,0.5,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9965067659866259,0.9937317040000077,0.6071049372355143,3
5,300,3,2,0.5,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.996510346751454,0.2222866969999965,0.6034663518269857,3
5,300,3,2,0.5,supervised,sparse_poly_stlsq,0.2222222222222222,0.31426968052735443,0.611111111111111,0.28327886186626583,0.7777777777777778,0.31426968052735443,0.611111111111111,0.28327886186626583,0.6333333333333333,0.26246692913372704,0.6944444444444443,0.23895347964007296,4.333333333333333,1.3333333333333333,0.6666666666666666,1.0,-324.0479390442781,0.0004909529999774046,0.00628662109375,3
5,300,3,2,0.5,semi_supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,10.269258390000005,0.6833899815877279,3
5,300,3,2,0.5,semi_supervised,poly_lasso,0.3944444444444444,0.14927809825049335,1.0,0.0,0.6055555555555555,0.14927809825049335,1.0,0.0,0.7428571428571429,0.12344267996967348,0.6944444444444443,0.1416394309331329,7.333333333333333,2.3333333333333335,1.6666666666666667,0.0,-548.3626297733737,0.14962726433331378,0.00611114501953125,3
5,300,3,2,0.5,semi_supervised,poly_omp,0.5333333333333333,0.09428090415820632,1.0,0.0,0.4666666666666666,0.09428090415820632,1.0,0.0,0.6309523809523809,0.08417937871268413,0.5,0.0,20.0,2.3333333333333335,2.6666666666666665,0.0,-581.8959221726105,0.0016810270000178207,0.0062713623046875,3
5,300,3,2,0.5,semi_supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9976086046153269,0.3448742003333412,0.6069545745849609,3
5,300,3,2,0.5,semi_supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3333333333333335,0.9976515333261263,0.22231617766666054,0.603443463643392,3
5,300,3,2,0.5,semi_supervised,sparse_poly_stlsq,0.0,0.0,0.611111111111111,0.28327886186626583,1.0,0.0,0.611111111111111,0.28327886186626583,0.7222222222222222,0.20786985482077452,0.8055555555555555,0.14163943093313291,1.6666666666666667,1.3333333333333333,0.0,1.0,-549.017366082783,0.0006047556666620343,0.0062103271484375,3
5,400,2,2,0.5,supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,5.169916241999999,0.7674172719319662,3
5,400,2,2,0.5,supervised,poly_lasso,0.3111111111111111,0.2454524670486058,1.0,0.0,0.6888888888888888,0.2454524670486058,1.0,0.0,0.7904761904761904,0.17509310772238315,0.7777777777777777,0.20786985482077452,6.666666666666667,2.0,1.3333333333333333,0.0,-84.82946736691967,0.08772655666666651,0.00621795654296875,3
5,400,2,2,0.5,supervised,poly_omp,0.6,0.0,1.0,0.0,0.4000000000000001,5.551115123125783e-17,1.0,0.0,0.5714285714285715,0.0,0.5,0.0,20.0,2.0,3.0,0.0,-86.97008326842491,0.0022281483333017604,0.0063323974609375,3
5,400,2,2,0.5,supervised,poly_clime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9649039853587992,0.7658271073333557,0.7443014780680338,3
5,400,2,2,0.5,supervised,poly_knockoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.9697850019269388,0.3142441933333278,0.7407083511352539,3
5,400,2,2,0.5,supervised,sparse_poly_stlsq,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.75,0.0,1.0,1.0,0.0,1.0,-84.74636405888096,0.0006414773333744961,0.0062408447265625,3
5,400,2,2,0.5,semi_supervised,ic_knock_poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,11.386048295333316,0.8445634841918945,3
5,400,2,2,0.5,semi_supervised,poly_lasso,0.3111111111111111,0.2454524670486058,1.0,0.0,0.6888888888888888,0.2454524670486058,1.0,0.0,0.7904761904761904,0.17509310772238315,0.7777777777777777,0.20786985482077452,4.666666666666667,2.0,1.3333333333333333,0.0,-175.89778904674355,0.09407849300002151,0.00624847412109375,3
